date,old_dte,old_band,old_dte_key,old_lut_key,old_strategy,new_dte,new_band,new_dte_key,new_lut_key,new_strategy,strategy_changed
2025-05-09,4,18-22%,T-4,T-4|18-22%|NEUTRAL,NOT FOUND,4.0,18-22%,T-4,T-4|18-22%|NEUTRAL,NOT FOUND,False
2025-05-12,3,>22%,T-3,T-3|>22%|NEUTRAL,NOT FOUND,3.0,>22%,T-3,T-3|>22%|NEUTRAL,NOT FOUND,False
2025-05-13,2,18-22%,T-2,T-2|18-22%|NEUTRAL,NOT FOUND,2.0,18-22%,T-2,T-2|18-22%|NEUTRAL,NOT FOUND,False
2025-05-14,1,15-18%,T-1,T-1|15-18%|NEUTRAL,NOT FOUND,6.0,15-18%,T-4,T-4|15-18%|NEUTRAL,NOT FOUND,False
2025-05-15,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,15-18%,T-4,T-4|15-18%|NEUTRAL,NOT FOUND,False
2025-05-16,4,15-18%,T-4,T-4|15-18%|NEUTRAL,NOT FOUND,4.0,15-18%,T-4,T-4|15-18%|NEUTRAL,NOT FOUND,False
2025-05-19,3,15-18%,T-3,T-3|15-18%|NEUTRAL,NOT FOUND,3.0,15-18%,T-3,T-3|15-18%|NEUTRAL,NOT FOUND,False
2025-05-20,2,15-18%,T-2,T-2|15-18%|NEUTRAL,NOT FOUND,2.0,15-18%,T-2,T-2|15-18%|NEUTRAL,NOT FOUND,False
2025-05-21,1,18-22%,T-1,T-1|18-22%|NEUTRAL,NOT FOUND,6.0,18-22%,T-4,T-4|18-22%|NEUTRAL,NOT FOUND,False
2025-05-22,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,15-18%,T-4,T-4|15-18%|NEUTRAL,NOT FOUND,False
2025-05-23,4,18-22%,T-4,T-4|18-22%|NEUTRAL,NOT FOUND,4.0,18-22%,T-4,T-4|18-22%|NEUTRAL,NOT FOUND,False
2025-05-26,3,>22%,T-3,T-3|>22%|NEUTRAL,NOT FOUND,3.0,>22%,T-3,T-3|>22%|NEUTRAL,NOT FOUND,False
2025-05-27,2,>22%,T-2,T-2|>22%|NEUTRAL,NOT FOUND,2.0,>22%,T-2,T-2|>22%|NEUTRAL,NOT FOUND,False
2025-05-28,1,18-22%,T-1,T-1|18-22%|NEUTRAL,NOT FOUND,6.0,18-22%,T-4,T-4|18-22%|NEUTRAL,NOT FOUND,False
2025-05-29,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,15-18%,T-4,T-4|15-18%|NEUTRAL,NOT FOUND,False
2025-05-30,4,18-22%,T-4,T-4|18-22%|NEUTRAL,NOT FOUND,4.0,18-22%,T-4,T-4|18-22%|NEUTRAL,NOT FOUND,False
2025-06-02,3,>22%,T-3,T-3|>22%|NEUTRAL,NOT FOUND,3.0,>22%,T-3,T-3|>22%|NEUTRAL,NOT FOUND,False
